RIC,Description,Currency,Type/Sub Type,Exchange,Comment
.N225,NIKKEI 225 INDEX,JPY,EQTY,TSE,日経平均
.TOPX,TOPIX PRICE INDEX,JPY,EQTY,TSE,
.DJI,DOW JONES INDU AVERAGE NDX,USD,EQTY,NYSE,ダウ平均株価
.SPX,S&P 500 INDEX,USD,EQTY,NYSE,
.HSI,HANG SENG INDEX,HKD,EQTY,SEHK,
.SSE50,SHANGHAI SE 50 INDEX,CNY,EQTY,SSE,
.SSE180,SHANGHAI SE 180 INDEX,CNY,EQTY,SSE,
.SSEC,SHANGHAI SE COMPOSITE INDEX,CNY,EQTY,SSE,
.CSI100,CHINA SECURITIES INDEX 100,CNY,EQTY,SSE,
.CSI200,CHINA SECURITIES INDEX 200,CNY,EQTY,SSE,
.CSI300,CSI300 INDEX,CNY,EQTY,SSE,
.BSESN,S&P BSE SENSEX IDX,INR,EQTY,BSE,
.FTSE,FTSE 100 IDX,GBP,EQTY,LSE,
JPY=,US Dollar/Japanese Yen FX Spot Rate,JPY,MONY,,
EUR=,Euro/US Dollar FX Spot Rate,USD,MONY,,
EURJPY=,Euro/Japanese Yen FX Cross Rate,JPY,MONY,,
.FOOD17.T,FOOD INDEX,JPY,EQTY,TSE,食品
.ENGY17.T,ENERGY RESOURCES INDEX,JPY,EQTY,TSE,エネルギー資源
.CNST17.T,CONSTRUCTION INDEX,JPY,EQTY,TSE,建設・資材
.CHEM17.T,CHEMICALS INDEX,JPY,EQTY,TSE,素材・化学
.PHAM17.T,PHARMACEUTICAL INDEX,JPY,EQTY,TSE,医薬品
.ATMO17.T,AUTOMOBILE INDEX,JPY,EQTY,TSE,自動車・輸送機
.STEL17.T,STEEL INDEX,JPY,EQTY,TSE,鉄鋼・非鉄
.MACH17.T,MACHINERY INDEX,JPY,EQTY,TSE,機械
.ELEC17.T,ELECTRIC INDEX,JPY,EQTY,TSE,電機・精密
.ITSV17.T,IT & SERVICE INDEX,JPY,EQTY,TSE,情報通信・サービスその他
.PWGA17.T,POWER & GAS INDEX,JPY,EQTY,TSE,電力・ガス
.TRAN17.T,TRANSPORTATION INDEX,JPY,EQTY,TSE,運輸・物流
.TRAD17.T,WHOLESALE INDEX,JPY,EQTY,TSE,商社・卸売
.RETL17.T,RETAIL INDEX,JPY,EQTY,TSE,小売
.BANK17.T,BANKS INDEX,JPY,EQTY,TSE,銀行
.FNCL17.T,FINANCIALS INDEX,JPY,EQTY,TSE,金融（除く銀行）
.RLTY17.T,REAL ESTATE INDEX,JPY,EQTY,TSE,不動産
JNIc1,Nikkei 225 Index Future c1,JPY,DERV/FUT,OSA,日経平均先物
*VXJ,Volatility Index Japan,,,TSE,
1301.T,KYOKUYO ORD,JPY,EQTY,TSE,極洋
1305.T,DAIWA TOPIX ETF,JPY,EQTY,TSE,ダイワ上場投信－トピックス
1306.T,TOPIX ETF,JPY,EQTY,TSE,ＴＯＰＩＸ連動型上場投資信託
1308.T,NIKKO ETIF TOPIX ETF,JPY,EQTY,TSE,上場インデックスファンドＴＯＰＩＸ
1309.T,SSE50 INDEX ETF,JPY,EQTY,TSE,上海株式指数・上証５０連動型上場投資信託
1310.T,DAIWA TPX CORE30 ETF,JPY,EQTY,TSE,ダイワ上場投信－トピックス・コア３０
1311.T,TOPIX CORE30 ETF,JPY,EQTY,TSE,ＴＯＰＩＸ　Ｃｏｒｅ　３０　連動型上場投資信託
